# 词语	拼音	主码	权重	词长	附加词码
昆山	kun shan	kpuj	2728	2	kpuja kpujau
昆山市	kun shan shi	kpujui	464	3	kpujuia kpujuiay
捆着	kun zhe	kpve	288	2	kpveq kpveqt
困住	kun zhu	kpvu	213	2	kpvuw kpvuwo
捆住	kun zhu	kpvu	81	2	kpvuq kpvuqo
昆阳	kun yang	kpyh	111	2	kpyha kpyhan
困意	kun yi	kpyi	97	2	kpyiw kpyiwy
困于	kun yu	kpyu	66	2	kpyuw kpyuwm
捆扎	kun za	kpza	151	2	kpzaq kpzaqq
困在	kun zai	kpzl	494	2	kpzlw kpzlwk
捆在	kun zai	kpzl	64	2	kpzlq kpzlqk
空气	kong qi	kq	13442	2	kqj kqjo ksqi ksqij ksqijo
宽大	kuan da	krda	909	2	krdaj krdajk
宽的	kuan de	krde	617	2	krdej krdejh
宽带	kuan dai	krdl	6150	2	krdlj krdljt
款待	kuan dai	krdl	248	2	krdlg krdlgh
宽带网	kuan dai wang	krdlwh	218	3	krdlwhj krdlwhjb
宽甸	kuan dian	krdm	150	2	krdmj krdmjp
宽度	kuan du	krdu	1812	2	krduj krduji
款额	kuan e	kree	102	2	kreeg kreegj
宽泛	kuan fan	krfj	151	2	krfjj krfjje
宽幅	kuan fu	krfu	366	2	krfuj krfujl
宽广	kuan guang	krgd	845	2	krgdj krgdjy
髋关节	kuan guan jie	krgrjx	172	3	krgrjxb krgrjxbt
宽厚	kuan hou	krhb	448	2	krhbj krhbjm
宽宏	kuan hong	krhs	116	2	krhsj krhsjj
宽城	kuan cheng	krig	468	2	krigj krigjg
宽城区	kuan cheng qu	krigqu	103	3	krigquj krigqujs
宽敞	kuan chang	krih	1262	2	krihj krihjf
宽阔	kuan kuo	krko	919	2	krkoj krkojl
款款	kuan kuan	krkr	458	2	krkrg krkrgg
宽宽	kuan kuan	krkr	101	2	krkrj krkrjj
宽了	kuan le	krle	80	2	krlej krlejn
宽频	kuan pin	krpn	1525	2	krpnj krpnjy
宽屏	kuan ping	krpy	2323	2	krpyj krpyjs
宽容	kuan rong	krrs	2919	2	krrsj krrsjj
宽松	kuan song	krss	1866	2	krssj krssjd
款式	kuan shi	krui	3537	2	kruig kruigi
宽恕	kuan shu	kruu	495	2	kruuj kruujv
宽窄	kuan zhai	krvl	105	2	krvlj krvljj
宽慰	kuan wei	krwz	217	2	krwzj krwzjs
款项	kuan xiang	krxd	862	2	krxdg krxdgm
宽限	kuan xian	krxm	57	2	krxmj krxmjn
款新	kuan xin	krxn	314	2	krxng krxngy
宽心	kuan xin	krxn	93	2	krxnj krxnjp
款型	kuan xing	krxy	82	2	krxyg krxygm
宽衣	kuan yi	kryi	94	2	kryij kryijy
宽衣解带	kuan yi jie dai	kryijxdl	52	4	kryijxdlj kryijxdljt
宽约	kuan yue	kryt	165	2	krytj krytjv
宽裕	kuan yu	kryu	276	2	kryuj kryujl
快速	kuai su	ks	24047	2	ksp kspy kysu kysup kysupy
空白	kong bai	ksbl	3395	2	ksblj ksbljh
恐怖	kong bu	ksbu	11188	2	ksbum ksbump
恐怖片	kong bu pian	ksbupm	954	3	ksbupmm ksbupmml
空仓	kong cang	ksch	235	2	kschj kschjo
空的	kong de	ksde	1059	2	ksdej ksdejh
空荡	kong dang	ksdh	193	2	ksdhj ksdhjt
空档	kong dang	ksdh	189	2	ksdhj ksdhjd
空挡	kong dang	ksdh	124	2	ksdhj ksdhjq
空当	kong dang	ksdh	80	2	ksdhj ksdhjf
空荡荡	kong dang dang	ksdhdh	561	3	ksdhdhj ksdhdhjt
空地	kong di	ksdi	749	2	ksdij ksdijg
空洞	kong dong	ksds	992	2	ksdsj ksdsje
孔洞	kong dong	ksds	104	2	ksdsn ksdsne
空房	kong fang	ksfh	458	2	ksfhj ksfhjh
空方	kong fang	ksfh	156	2	ksfhj ksfhjy
空翻	kong fan	ksfj	131	2	ksfjj ksfjjh
空泛	kong fan	ksfj	72	2	ksfjj ksfjje
空腹	kong fu	ksfu	513	2	ksfuj ksfujb
孔府	kong fu	ksfu	93	2	ksfun ksfuni
孔夫子	kong fu zi	ksfuzi	5779	3	ksfuzin ksfuzinn
空格	kong ge	ksge	796	2	ksgej ksgejd
空格键	kong ge jian	ksgejm	164	3	ksgejmj ksgejmjo
空港	kong gang	ksgh	384	2	ksghj ksghje
控告	kong gao	ksgk	325	2	ksgkq ksgkqh
控股	kong gu	ksgu	4945	2	ksguq ksguqb
空谷	kong gu	ksgu	167	2	ksguj ksgujc
恐慌	kong huang	kshd	1675	2	kshdm kshdmp
恐吓	kong he	kshe	617	2	kshem kshemr
空行	kong hang	kshh	72	2	kshhj kshhjh
空号	kong hao	kshk	89	2	kshkj kshkjr
空话	kong hua	kshw	238	2	kshwj kshwji
空车	kong che	ksie	107	2	ksiej ksiejk
空城	kong cheng	ksig	265	2	ksigj ksigjg
空乘	kong cheng	ksig	83	2	ksigj ksigjh
空巢	kong chao	ksik	126	2	ksikj ksikjv
空出	kong chu	ksiu	178	2	ksiuj ksiuju
空降	kong jiang	ksjd	581	2	ksjdj ksjdjn
空降兵	kong jiang bing	ksjdby	164	3	ksjdbyj ksjdbyjo
空寂	kong ji	ksji	112	2	ksjij ksjijj
控件	kong jian	ksjm	1546	2	ksjmq ksjmqo
空间感	kong jian gan	ksjmgj	102	3	ksjmgjj ksjmgjji
空间站	kong jian zhan	ksjmvj	446	3	ksjmvjj ksjmvjjy
空军	kong jun	ksjp	2531	2	ksjpj ksjpjb
恐惧	kong ju	ksju	4916	2	ksjum ksjump
恐惧感	kong ju gan	ksjugj	205	3	ksjugjm ksjugjmi
恐惧症	kong ju zheng	ksjuvg	247	3	ksjuvgm ksjuvgmk
空姐	kong jie	ksjx	1458	2	ksjxj ksjxjv
孔径	kong jing	ksjy	250	2	ksjyn ksjynh
空旷	kong kuang	kskd	740	2	kskdj kskdja
空客	kong ke	kske	267	2	kskej kskejj
空壳	kong ke	kske	203	2	kskej kskejg
空空	kong kong	ksks	1443	2	ksksj ksksjj
空空如也	kong kong ru ye	ksksruye	158	4	ksksruyej ksksruyejp
空了	kong le	ksle	481	2	kslej kslejn
恐龙	kong long	ksls	1800	2	kslsm kslsmi
空灵	kong ling	ksly	409	2	kslyj kslyjs
孔庙	kong miao	ksmc	179	2	ksmcn ksmcni
空门	kong men	ksmf	166	2	ksmfj ksmfjl
孔孟	kong meng	ksmg	135	2	ksmgn ksmgnn
孔明	kong ming	ksmy	332	2	ksmyn ksmyna
空明	kong ming	ksmy	77	2	ksmyj ksmyja
空难	kong nan	ksnj	382	2	ksnjj ksnjje
恐怕	kong pa	kspa	5282	2	kspam kspamp
恐怕会	kong pa hui	kspahv	167	3	kspahvm kspahvmo
恐怕是	kong pa shi	kspaui	468	3	kspauim kspauima
恐怕要	kong pa yao	kspayk	161	3	kspaykm kspaykmm
控盘	kong pan	kspj	108	2	kspjq kspjqh
空瓶	kong ping	kspy	62	2	kspyj kspyjt
空腔	kong qiang	ksqd	60	2	ksqdj ksqdjb
空前	kong qian	ksqm	1234	2	ksqmj ksqmjt
控球	kong qiu	ksqq	273	2	ksqqq ksqqqm
孔丘	kong qiu	ksqq	60	2	ksqqn ksqqno
空拳	kong quan	ksqr	94	2	ksqrj ksqrjf
孔雀	kong que	ksqt	1246	2	ksqtn ksqtnf
空缺	kong que	ksqt	584	2	ksqtj ksqtjo
孔雀舞	kong que wu	ksqtwu	291	3	ksqtwun ksqtwuno
孔融	kong rong	ksrs	77	2	ksrsn ksrsnm
控诉	kong su	kssu	337	2	kssuq kssuqi
空头	kong tou	kstb	689	2	kstbj kstbjy
空投	kong tou	kstb	132	2	kstbj kstbjq
空调车	kong tiao che	kstcie	197	3	kstciej kstciejk
空调器	kong tiao qi	kstcqi	240	3	kstcqij kstcqijr
空谈	kong tan	kstj	179	2	kstjj kstjji
崆峒	kong tong	ksts	228	2	kstsu kstsuu
空手	kong shou	ksub	348	2	ksubj ksubjq
空手道	kong shou dao	ksubdk	228	3	ksubdkj ksubdkjy
空着	kong zhe	ksve	263	2	ksvej ksvejt
空置	kong zhi	ksvi	306	2	ksvij ksvijw
控制板	kong zhi ban	ksvibj	110	3	ksvibjq ksvibjqd
控制好	kong zhi hao	ksvihk	241	3	ksvihkq ksvihkqv
控制力	kong zhi li	ksvili	211	3	ksviliq ksviliqk
控制器	kong zhi qi	ksviqi	2966	3	ksviqiq ksviqiqr
控制权	kong zhi quan	ksviqr	368	3	ksviqrq ksviqrqd
控制台	kong zhi tai	ksvitl	394	3	ksvitlq ksvitlqi
控制住	kong zhi zhu	ksvivu	396	3	ksvivuq ksvivuqo
控制性	kong zhi xing	ksvixy	156	3	ksvixyq ksvixyqp
空战	kong zhan	ksvj	388	2	ksvjj ksvjjy
空转	kong zhuan	ksvr	145	2	ksvrj ksvrjk
空中	kong zhong	ksvs	6268	2	ksvsj ksvsjl
空竹	kong zhu	ksvu	52	2	ksvuj ksvujh
控温	kong wen	kswf	199	2	kswfq kswfqe
空文	kong wen	kswf	67	2	kswfj kswfjy
空无	kong wu	kswu	353	2	kswuj kswujm
空位	kong wei	kswz	262	2	kswzj kswzjo
空想	kong xiang	ksxd	333	2	ksxdj ksxdjd
空隙	kong xi	ksxi	509	2	ksxij ksxijn
空袭	kong xi	ksxi	337	2	ksxij ksxiji
孔隙	kong xi	ksxi	206	2	ksxin ksxinn
空闲	kong xian	ksxm	908	2	ksxmj ksxmjl
空心	kong xin	ksxn	701	2	ksxnj ksxnjp
空心菜	kong xin cai	ksxncl	104	3	ksxnclj ksxncljt
空穴	kong xue	ksxt	163	2	ksxtj ksxtjj
空穴来风	kong xue lai feng	ksxtllfg	114	4	ksxtllfgj ksxtllfgjh
空虚	kong xu	ksxu	1988	2	ksxuj ksxujy
空下	kong xia	ksxw	56	2	ksxwj ksxwjm
控油	kong you	ksyb	558	2	ksybq ksybqe
空有	kong you	ksyb	172	2	ksybj ksybjk
恐有	kong you	ksyb	56	2	ksybm ksybmk
孔乙己	kong yi ji	ksyiji	110	3	ksyijin ksyijins
空运	kong yun	ksyp	752	2	ksypj ksypjy
空余	kong yu	ksyu	266	2	ksyuj ksyujo
空域	kong yu	ksyu	72	2	ksyuj ksyujg
孔子	kong zi	kszi	2617	2	kszin kszinn
空子	kong zi	kszi	199	2	kszij kszijn
空载	kong zai	kszl	124	2	kszlj kszljj
空调	kong tiao	kt	28749	2	ktj ktji kstc kstcj kstcji
开始	kai shi	ku	105894	2	kum kumv klui kluim kluimv
考试	kao shi	ku	56319	2	kuj kuji kkui kkuij kkuiji
可是	ke shi	ku	51623	2	kum kuma keui keuim keuima
酷爱	ku ai	kuai	790	2	kuaim kuaimb
哭吧	ku ba	kuba	188	2	kubar kubarr
苦不堪言	ku bu kan yan	kubukjyj	187	4	kubukjyjt kubukjyjty
库布里克	ku bu li ke	kubulike	67	4	kubulikei kubulikeij
枯草	ku cao	kuck	133	2	kuckd kuckdt
库存	ku cun	kucp	6993	2	kucpi kucpik
库存量	ku cun liang	kucpld	222	3	kucpldi kucpldia
苦大仇深	ku da chou shen	kudaibuf	38	4	kudaibuft kudaibufte
裤兜	ku dou	kudb	116	2	kudbl kudblh
哭得	ku de	kude	751	2	kuder kuderh
苦的	ku de	kude	668	2	kudet kudeth
苦得	ku de	kude	60	2	kudet kudeth
裤裆	ku dang	kudh	140	2	kudhl kudhll
裤带	ku dai	kudl	81	2	kudll kudllt
裤袋	ku dai	kudl	76	2	kudll kudllo
苦读	ku du	kudu	238	2	kudut kuduti
库尔	ku er	kuer	144	2	kueri kuerin
库尔勒	ku er le	kuerle	350	3	kuerlei kuerleit
库尔勒市	ku er le shi	kuerleui	48	4	kuerleuii kuerleuiiy
库房	ku fang	kufh	870	2	kufhi kufhih
酷狗	ku gou	kugb	525	2	kugbm kugbmk
哭个	ku ge	kuge	95	2	kuger kugero
酷哥	ku ge	kuge	87	2	kugem kugemm
苦干	ku gan	kugj	247	2	kugjt kugjtm
枯槁	ku gao	kugk	56	2	kugkd kugkdd
哭过	ku guo	kugo	579	2	kugor kugory
苦果	ku guo	kugo	201	2	kugot kugotw
裤管	ku guan	kugr	78	2	kugrl kugrlh
苦工	ku gong	kugs	68	2	kugst kugstm
苦功	ku gong	kugs	57	2	kugst kugstm
枯骨	ku gu	kugu	65	2	kugud kugudb
苦瓜	ku gua	kugw	779	2	kugwt kugwth
枯黄	ku huang	kuhd	267	2	kuhdd kuhddt
哭喊	ku han	kuhj	282	2	kuhjr kuhjrr
苦寒	ku han	kuhj	114	2	kuhjt kuhjtj
苦海	ku hai	kuhl	280	2	kuhlt kuhlte
裤衩	ku cha	kuia	223	2	kuial kuiall
库车	ku che	kuie	161	2	kuiei kuieik
哭成	ku cheng	kuig	86	2	kuigr kuigri
苦楚	ku chu	kuiu	263	2	kuiut kuiutd
哭出	ku chu	kuiu	138	2	kuiur kuiuru
哭出来	ku chu lai	kuiull	339	3	kuiullr kuiullrd
裤脚	ku jiao	kujc	151	2	kujcl kujclb
哭叫	ku jiao	kujc	55	2	kujcr kujcrr
苦尽甘来	ku jin gan lai	kujngjll	129	4	kujngjllt kujngjlltd
苦酒	ku jiu	kujq	79	2	kujqt kujqte
枯竭	ku jie	kujx	380	2	kujxd kujxdy
枯井	ku jing	kujy	66	2	kujyd kujydt
苦口	ku kou	kukb	210	2	kukbt kukbtr
库克	ku ke	kuke	184	2	kukei kukeij
苦苦	ku ku	kuku	1646	2	kukut kukutt
酷酷	ku ku	kuku	366	2	kukum kukumm
哭哭	ku ku	kuku	207	2	kukur kukurr
哭哭啼啼	ku ku ti ti	kukutiti	117	4	kukutitir kukutitirr
骷髅	ku lou	kulb	1757	2	kulbb kulbbb
哭了	ku le	kule	4271	2	kuler kulern
苦了	ku le	kule	453	2	kulet kuletn
苦乐	ku le	kule	179	2	kulet kuleth
酷冷	ku leng	kulg	1057	2	kulgm kulgmi
苦力	ku li	kuli	237	2	kulit kulitk
库里	ku li	kuli	218	2	kulii kuliiw
苦练	ku lian	kulm	518	2	kulmt kulmtv
苦恋	ku lian	kulm	125	2	kulmt kulmty
库伦	ku lun	kulp	81	2	kulpi kulpio
窟窿	ku long	kuls	299	2	kulsj kulsjj
苦闷	ku men	kumf	559	2	kumft kumftl
枯木	ku mu	kumu	175	2	kumud kumudd
苦命	ku ming	kumy	209	2	kumyt kumyto
苦难	ku nan	kunj	1592	2	kunjt kunjte
苦恼	ku nao	kunk	1569	2	kunkt kunktp
哭闹	ku nao	kunk	491	2	kunkr kunkrl
酷派	ku pai	kupl	1133	2	kuplm kuplme
酷评	ku ping	kupy	76	2	kupym kupymi
哭腔	ku qiang	kuqd	112	2	kuqdr kuqdrb
哭泣	ku qi	kuqi	3952	2	kuqir kuqire
哭起来	ku qi lai	kuqill	162	3	kuqillr kuqillrd
哭穷	ku qiong	kuqs	52	2	kuqsr kuqsrj
库区	ku qu	kuqu	469	2	kuqui kuquis
苦情	ku qing	kuqy	87	2	kuqyt kuqytp
酷热	ku re	kure	306	2	kurem kuremq
苦日子	ku ri zi	kurizi	101	3	kurizit kurizitn
库容	ku rong	kurs	103	2	kursi kursij
枯荣	ku rong	kurs	51	2	kursd kursdt
酷睿	ku rui	kurv	2706	2	kurvm kurvmy
苦涩	ku se	kuse	1429	2	kuset kusete
哭丧	ku sang	kush	120	2	kushr kushrg
哭丧着脸	ku sang zhe lian	kushvelm	72	4	kushvelmr kushvelmrb
酷似	ku si	kusi	733	2	kusim kusimo
苦思	ku si	kusi	162	2	kusit kusitw
枯死	ku si	kusi	137	2	kusid kusidm
哭诉	ku su	kusu	383	2	kusur kusuri
苦头	ku tou	kutb	338	2	kutbt kutbty
裤头	ku tou	kutb	77	2	kutbl kutbly
枯藤	ku teng	kutg	55	2	kutgd kutgdt
苦痛	ku tong	kuts	380	2	kutst kutstk
裤腿	ku tui	kutv	131	2	kutvl kutvlb
枯瘦	ku shou	kuub	55	2	kuubd kuubdk
苦参	ku shen	kuuf	180	2	kuuft kuufti
哭声	ku sheng	kuug	699	2	kuugr kuugrg
酷暑	ku shu	kuuu	461	2	kuuum kuuuma
枯树	ku shu	kuuu	93	2	kuuud kuuudd
苦水	ku shui	kuuv	245	2	kuuvt kuuvte
枯水	ku shui	kuuv	76	2	kuuvd kuuvde
哭着	ku zhe	kuve	1154	2	kuver kuvert
枯枝	ku zhi	kuvi	151	2	kuvid kuvidd
苦战	ku zhan	kuvj	411	2	kuvjt kuvjty
库中	ku zhong	kuvs	629	2	kuvsi kuvsil
苦衷	ku zhong	kuvs	327	2	kuvst kuvstj
苦中作乐	ku zhong zuo le	kuvszole	77	4	kuvszolet kuvszoleth
裤袜	ku wa	kuwa	177	2	kuwal kuwall
酷网	ku wang	kuwh	77	2	kuwhm kuwhmb
苦无	ku wu	kuwu	85	2	kuwut kuwutm
枯萎	ku wei	kuwz	750	2	kuwzd kuwzdt
苦味	ku wei	kuwz	235	2	kuwzt kuwztr
苦笑	ku xiao	kuxc	1590	2	kuxct kuxcth
哭笑不得	ku xiao bu de	kuxcbude	563	4	kuxcbuder kuxcbuderh
苦心	ku xin	kuxn	671	2	kuxnt kuxntp
苦修	ku xiu	kuxq	142	2	kuxqt kuxqto
苦学	ku xue	kuxt	60	2	kuxtt kuxttf
酷刑	ku xing	kuxy	299	2	kuxym kuxymm
苦行	ku xing	kuxy	83	2	kuxyt kuxyth
哭醒	ku xing	kuxy	55	2	kuxyr kuxyrm
枯叶	ku ye	kuye	209	2	kuyed kuyedr
裤腰	ku yao	kuyk	133	2	kuykl kuyklb
苦于	ku yu	kuyu	306	2	kuyut kuyutm
苦雨	ku yu	kuyu	59	2	kuyut kuyutm
裤子	ku zi	kuzi	2480	2	kuzil kuziln
枯燥	ku zao	kuzk	1079	2	kuzkd kuzkdf
控制	kong zhi	kv	47995	2	kvq kvqh ksvi ksviq ksviqh
看着	kan zhe	kv	34235	2	kvh kvht kjve kjveh kjveht
开展	kai zhan	kv	20698	2	kvm kvms klvj klvjm klvjms
溃坝	kui ba	kvba	93	2	kvbae kvbaeg
亏本	kui ben	kvbf	400	2	kvbfm kvbfmd
溃败	kui bai	kvbl	224	2	kvble kvbleb
溃不成军	kui bu cheng jun	kvbuigjp	62	4	kvbuigjpe kvbuigjpeb
魁北克	kui bei ke	kvbzke	119	3	kvbzkeh kvbzkehj
亏得	kui de	kvde	98	2	kvdem kvdemh
亏待	kui dai	kvdl	160	2	kvdlm kvdlmh
愧对	kui dui	kvdv	178	2	kvdvp kvdvpe
匮乏	kui fa	kvfa	549	2	kvfas kvfash
葵花	kui hua	kvhw	724	2	kvhwt kvhwtt
窥见	kui jian	kvjm	146	2	kvjmj kvjmjb
愧疚	kui jiu	kvjq	966	2	kvjqp kvjqpk
盔甲	kui jia	kvjw	493	2	kvjwk kvjwkw
亏空	kui kong	kvks	74	2	kvksm kvksmj
亏了	kui le	kvle	349	2	kvlem kvlemn
溃烂	kui lan	kvlj	170	2	kvlje kvljef
喹啉	kui lin	kvln	78	2	kvlnr kvlnrr
傀儡	kui lei	kvlz	827	2	kvlzo kvlzoo
亏欠	kui qian	kvqm	258	2	kvqmm kvqmmn
亏钱	kui qian	kvqm	136	2	kvqmm kvqmmo
岿然	kui ran	kvrj	62	2	kvrju kvrjub
溃散	kui san	kvsj	71	2	kvsje kvsjet
亏损	kui sun	kvsp	3292	2	kvspm kvspmq
馈送	kui song	kvss	7834	2	kvssn kvssny
窥探	kui tan	kvtj	270	2	kvtjj kvtjjq
奎屯	kui tun	kvtp	111	2	kvtpk kvtpkp
蝰蛇	kui she	kvue	112	2	kvuel kvuell
窥视	kui shi	kvui	350	2	kvuij kvuiji
奎文	kui wen	kvwf	193	2	kvwfk kvwfky
奎文区	kui wen qu	kvwfqu	124	3	kvwfquk kvwfquks
魁梧	kui wu	kvwu	228	2	kvwuh kvwuhd
愧为	kui wei	kvwz	233	2	kvwzp kvwzpi
馈线	kui xian	kvxm	71	2	kvxmn kvxmnv
亏心	kui xin	kvxn	84	2	kvxnm kvxnmp
魁星	kui xing	kvxy	66	2	kvxyh kvxyha
溃疡	kui yang	kvyh	1691	2	kvyhe kvyhek
愧于	kui yu	kvyu	187	2	kvyup kvyupm
馈赠	kui zeng	kvzg	426	2	kvzgn kvzgnb
挎包	kua bao	kwbk	561	2	kwbkq kwbkqp
跨步	kua bu	kwbu	97	2	kwbur kwbury
夸大	kua da	kwda	642	2	kwdak kwdakk
夸大其词	kua da qi ci	kwdaqici	56	4	kwdaqicik kwdaqiciki
垮掉	kua diao	kwdc	141	2	kwdcg kwdcgq
跨地区	kua di qu	kwdiqu	152	3	kwdiqur kwdiqurs
跨度	kua du	kwdu	669	2	kwdur kwduri
夸父	kua fu	kwfu	167	2	kwfuk kwfukc
跨国	kua guo	kwgo	2186	2	kwgor kwgorw
跨过	kua guo	kwgo	503	2	kwgor kwgory
跨行	kua hang	kwhh	174	2	kwhhr kwhhrh
跨行业	kua hang ye	kwhhye	113	3	kwhhyer kwhhyert
跨海	kua hai	kwhl	229	2	kwhlr kwhlre
跨出	kua chu	kwiu	265	2	kwiur kwiuru
夸奖	kua jiang	kwjd	586	2	kwjdk kwjdkl
跨进	kua jin	kwjn	178	2	kwjnr kwjnry
跨境	kua jing	kwjy	368	2	kwjyr kwjyrg
夸克	kua ke	kwke	95	2	kwkek kwkekj
夸夸	kua kua	kwkw	136	2	kwkwk kwkwkk
夸夸其谈	kua kua qi tan	kwkwqitj	85	4	kwkwqitjk kwkwqitjki
垮了	kua le	kwle	166	2	kwleg kwlegn
跨了	kua le	kwle	83	2	kwler kwlern
跨栏	kua lan	kwlj	233	2	kwljr kwljrd
跨年	kua nian	kwnm	200	2	kwnmr kwnmro
跨平台	kua ping tai	kwpytl	138	3	kwpytlr kwpytlri
跨区	kua qu	kwqu	223	2	kwqur kwqurs
跨入	kua ru	kwru	344	2	kwrur kwruro
垮塌	kua ta	kwta	419	2	kwtag kwtagg
垮台	kua tai	kwtl	84	2	kwtlg kwtlgi
跨省	kua sheng	kwug	264	2	kwugr kwugrf
跨上	kua shang	kwuh	102	2	kwuhr kwuhry
跨世纪	kua shi ji	kwuiji	207	3	kwuijir kwuijirv
跨着	kua zhe	kwve	258	2	kwver kwvert
夸张	kua zhang	kwvh	2542	2	kwvhk kwvhkn
跨学科	kua xue ke	kwxtke	107	3	kwxtker kwxtkerh
胯下	kua xia	kwxw	148	2	kwxwb kwxwbm
夸耀	kua yao	kwyk	139	2	kwykk kwykkf
跨越	kua yue	kwyt	2627	2	kwytr kwytrg
跨越式	kua yue shi	kwytui	346	3	kwytuir kwytuiri
夸赞	kua zan	kwzj	175	2	kwzjk kwzjkh
科学	ke xue	kx	54506	2	kxh kxhf kext kexth kexthf
开心	kai xin	kx	33994	2	kxm kxmp klxn klxnm klxnmp
可以	ke yi	ky	273613	2	kym kymv keyi keyim keyimv
快啊	kuai a	kyaa	411	2	kyaap kyaapr
快把	kuai ba	kyba	322	2	kybap kybapq
快板	kuai ban	kybj	166	2	kybjp kybjpd
快报	kuai bao	kybk	6178	2	kybkp kybkpq
快步	kuai bu	kybu	588	2	kybup kybupy
快被	kuai bei	kybz	273	2	kybzp kybzpl
快餐	kuai can	kycj	2512	2	kycjp kycjpy
快餐店	kuai can dian	kycjdm	393	3	kycjdmp kycjdmpi
快打	kuai da	kyda	426	2	kydap kydapq
快的	kuai de	kyde	4123	2	kydep kydeph
快得	kuai de	kyde	221	2	kydep kydeph
快递费	kuai di fei	kydifz	163	3	kydifzp kydifzpl
快到	kuai dao	kydk	1292	2	kydkp kydkpm
快刀	kuai dao	kydk	179	2	kydkp kydkps
快点	kuai dian	kydm	2986	2	kydmp kydmpy
块儿	kuai er	kyer	98	2	kyerg kyergl
快跟	kuai gen	kygf	52	2	kygfp kygfpr
快感	kuai gan	kygj	1459	2	kygjp kygjpi
快干	kuai gan	kygj	164	2	kygjp kygjpm
快赶	kuai gan	kygj	53	2	kygjp kygjpg
快过	kuai guo	kygo	210	2	kygop kygopy
快攻	kuai gong	kygs	212	2	kygsp kygspm
快活	kuai huo	kyho	996	2	kyhop kyhope
快回	kuai hui	kyhv	60	2	kyhvp kyhvpw
快回来	kuai hui lai	kyhvll	163	3	kyhvllp kyhvllpd
快车	kuai che	kyie	2306	2	kyiep kyiepk
快车道	kuai che dao	kyiedk	221	3	kyiedkp kyiedkpy
快成	kuai cheng	kyig	161	2	kyigp kyigpi
快吃	kuai chi	kyii	81	2	kyiip kyiipr
快船	kuai chuan	kyir	363	2	kyirp kyirph
快出	kuai chu	kyiu	124	2	kyiup kyiupu
快将	kuai jiang	kyjd	74	2	kyjdp kyjdpl
会稽	kuai ji	kyji	148	2	kyjio kyjioh
会计师	kuai ji shi	kyjiui	3985	3	kyjiuio kyjiuioi
会计学	kuai ji xue	kyjixt	548	3	kyjixto kyjixtof
快件	kuai jian	kyjm	284	2	kyjmp kyjmpo
快进	kuai jin	kyjn	212	2	kyjnp kyjnpy
快就	kuai jiu	kyjq	853	2	kyjqp kyjqpy
快捷	kuai jie	kyjx	6386	2	kyjxp kyjxpq
快捷键	kuai jie jian	kyjxjm	965	3	kyjxjmp kyjxjmpo
快节奏	kuai jie zou	kyjxzb	255	3	kyjxzbp kyjxzbpq
块茎	kuai jing	kyjy	56	2	kyjyg kyjygt
快看	kuai kan	kykj	319	2	kykjp kykjph
快快	kuai kuai	kyky	1734	2	kykyp kykypp
块块	kuai kuai	kyky	242	2	kykyg kykygg
快了	kuai le	kyle	1308	2	kylep kylepn
快来	kuai lai	kyll	1392	2	kyllp kyllpd
快马	kuai ma	kyma	209	2	kymap kymapn
快马加鞭	kuai ma jia bian	kymajwbm	78	4	kymajwbmp kymajwbmpt
快门	kuai men	kymf	1176	2	kymfp kymfpl
快慢	kuai man	kymj	232	2	kymjp kymjpp
快没	kuai mei	kymz	155	2	kymzp kymzpe
快跑	kuai pao	kypk	400	2	kypkp kypkpr
快起来	kuai qi lai	kyqill	141	3	kyqillp kyqillpd
块钱	kuai qian	kyqm	3654	2	kyqmg kyqmgo
快钱	kuai qian	kyqm	227	2	kyqmp kyqmpo
快去	kuai qu	kyqu	611	2	kyqup kyqupg
快人	kuai ren	kyrf	69	2	kyrfp kyrfpo
快让	kuai rang	kyrh	104	2	kyrhp kyrhpi
快如	kuai ru	kyru	69	2	kyrup kyrupv
快搜	kuai sou	kysb	74	2	kysbp kysbpq
快速路	kuai su lu	kysulu	164	3	kysulup kysulupr
块头	kuai tou	kytb	239	2	kytbg kytbgy
快艇	kuai ting	kyty	330	2	kytyp kytyph
快手	kuai shou	kyub	92	2	kyubp kyubpq
快上	kuai shang	kyuh	127	2	kyuhp kyuhpy
快事	kuai shi	kyui	55	2	kyuip kyuipj
快闪	kuai shan	kyuj	87	2	kyujp kyujpl
快说	kuai shuo	kyuo	111	2	kyuop kyuopi
块状	kuai zhuang	kyvd	231	2	kyvdg kyvdgl
脍炙	kuai zhi	kyvi	217	2	kyvib kyvibb
快照	kuai zhao	kyvk	2422	2	kyvkp kyvkpa
快慰	kuai wei	kywz	63	2	kywzp kywzps
快讯	kuai xun	kyxp	3764	2	kyxpp kyxppi
快些	kuai xie	kyxx	313	2	kyxxp kyxxpy
快又	kuai you	kyyb	271	2	kyybp kyybpn
快有	kuai you	kyyb	138	2	kyybp kyybpk
快意	kuai yi	kyyi	362	2	kyyip kyyipy
快一点	kuai yi dian	kyyidm	308	3	kyyidmp kyyidmpy
快要	kuai yao	kyyk	3121	2	kyykp kyykpm
快印	kuai yin	kyyn	330	2	kyynp kyynph
快运	kuai yun	kyyp	629	2	kyypp kyyppy
快语	kuai yu	kyyu	146	2	kyyup kyyupi
快走	kuai zou	kyzb	323	2	kyzbp kyzbpg
筷子	kuai zi	kyzi	1474	2	kyzih kyzihn
